family,order,fidel,english_sound_guide,audio_asset
19,6,ው,Wih,assets/sounds/fidel_12cd.m4a
19,7,ዎ,Woh,assets/sounds/fidel_12ce.m4a
20,1,ዐ,Uh,assets/sounds/fidel_12d0.m4a
20,2,ዑ,Oo,assets/sounds/fidel_12d1.m4a
20,3,ዒ,Ee,assets/sounds/fidel_12d2.m4a
20,4,ዓ,Ah,assets/sounds/fidel_12d3.m4a
20,5,ዔ,Eh,assets/sounds/fidel_12d4.m4a
20,6,ዕ,Ih,assets/sounds/fidel_12d5.m4a
20,7,ዖ,Oh,assets/sounds/fidel_12d6.m4a
21,1,ዘ,Zuh,assets/sounds/fidel_12d8.m4a
21,2,ዙ,Zoo,assets/sounds/fidel_12d9.m4a
21,3,ዚ,Zee,assets/sounds/fidel_12da.m4a
21,4,ዛ,Zah,assets/sounds/fidel_12db.m4a
21,5,ዜ,Zeh,assets/sounds/fidel_12dc.m4a
21,6,ዝ,Zih,assets/sounds/fidel_12dd.m4a
21,7,ዞ,Zoh,assets/sounds/fidel_12de.m4a
22,1,ዠ,Zhuh,assets/sounds/fidel_12e0.m4a
22,2,ዡ,Zhoo,assets/sounds/fidel_12e1.m4a
22,3,ዢ,Zhee,assets/sounds/fidel_12e2.m4a
22,4,ዣ,Zhah,assets/sounds/fidel_12e3.m4a
22,5,ዤ,Zheh,assets/sounds/fidel_12e4.m4a
22,6,ዥ,Zhih,assets/sounds/fidel_12e5.m4a
22,7,ዦ,Zhoh,assets/sounds/fidel_12e6.m4a
23,1,የ,Yuh,assets/sounds/fidel_12e8.m4a
23,2,ዩ,Yoo,assets/sounds/fidel_12e9.m4a
23,3,ዪ,Yee,assets/sounds/fidel_12ea.m4a
23,4,ያ,Yah,assets/sounds/fidel_12eb.m4a
23,5,ዬ,Yeh,assets/sounds/fidel_12ec.m4a
23,6,ይ,Yih,assets/sounds/fidel_12ed.m4a
23,7,ዮ,Yoh,assets/sounds/fidel_12ee.m4a
24,1,ደ,Duh,assets/sounds/fidel_12f0.wav
24,2,ዱ,Doo,assets/sounds/fidel_12f1.wav
24,3,ዲ,Dee,assets/sounds/fidel_12f2.wav
24,4,ዳ,Dah,assets/sounds/fidel_12f3.wav
24,5,ዴ,Deh,assets/sounds/fidel_12f4.wav
24,6,ድ,Dih,assets/sounds/fidel_12f5.wav
24,7,ዶ,Doh,assets/sounds/fidel_12f6.wav
25,1,ጀ,Juh,assets/sounds/fidel_1300.wav
25,2,ጁ,Joo,assets/sounds/fidel_1301.wav
25,3,ጂ,Jee,assets/sounds/fidel_1302.wav
25,4,ጃ,Jah,assets/sounds/fidel_1303.wav
25,5,ጄ,Jeh,assets/sounds/fidel_1304.wav
25,6,ጅ,Jih,assets/sounds/fidel_1305.wav
25,7,ጆ,Joh,assets/sounds/fidel_1306.wav
26,1,ገ,Guh,assets/sounds/fidel_1308.m4a
26,2,ጉ,Goo,assets/sounds/fidel_1309.m4a
26,3,ጊ,Gee,assets/sounds/fidel_130a.m4a
26,4,ጋ,Gah,assets/sounds/fidel_130b.m4a
26,5,ጌ,Geh,assets/sounds/fidel_130c.m4a
26,6,ግ,Gih,assets/sounds/fidel_130d.m4a
26,7,ጎ,Goh,assets/sounds/fidel_130e.m4a
27,1,ጠ,Tuh,assets/sounds/fidel_1320.m4a
27,2,ጡ,Too,assets/sounds/fidel_1321.m4a
27,3,ጢ,Tee,assets/sounds/fidel_1322.m4a
27,4,ጣ,Tah,assets/sounds/fidel_1323.m4a
27,5,ጤ,Teh,assets/sounds/fidel_1324.m4a
27,6,ጥ,Tih,assets/sounds/fidel_1325.m4a
27,7,ጦ,Toh,assets/sounds/fidel_1326.m4a
28,1,ጨ,Chuh,assets/sounds/fidel_1328.m4a
28,2,ጩ,Choo,assets/sounds/fidel_1329.m4a
28,3,ጪ,Chee,assets/sounds/fidel_132a.m4a
28,4,ጫ,Chah,assets/sounds/fidel_132b.m4a
28,5,ጬ,Cheh,assets/sounds/fidel_132c.m4a
28,6,ጭ,Chih,assets/sounds/fidel_132d.m4a
28,7,ጮ,Choh,assets/sounds/fidel_132e.m4a
29,1,ጰ,Puh,assets/sounds/fidel_1330.m4a
29,2,ጱ,Poo,assets/sounds/fidel_1331.m4a
29,3,ጲ,Pee,assets/sounds/fidel_1332.m4a
29,4,ጳ,Pah,assets/sounds/fidel_1333.m4a
29,5,ጴ,Peh,assets/sounds/fidel_1334.m4a
29,6,ጵ,Pih,assets/sounds/fidel_1335.m4a
29,7,ጶ,Poh,assets/sounds/fidel_1336.m4a
30,1,ጸ,Tsuh,assets/sounds/fidel_1338.wav
30,2,ጹ,Tsoo,assets/sounds/fidel_1339.wav
30,3,ጺ,Tsee,assets/sounds/fidel_133a.wav
30,4,ጻ,Tsah,assets/sounds/fidel_133b.wav
30,5,ጼ,Tseh,assets/sounds/fidel_133c.wav
30,6,ጽ,Tsih,assets/sounds/fidel_133d.wav
30,7,ጾ,Tsoh,assets/sounds/fidel_133e.wav
31,1,ፀ,Tsuh,assets/sounds/fidel_1340.m4a
31,2,ፁ,Tsoo,assets/sounds/fidel_1341.m4a
31,3,ፂ,Tsee,assets/sounds/fidel_1342.m4a
31,4,ፃ,Tsah,assets/sounds/fidel_1343.m4a
31,5,ፄ,Tseh,assets/sounds/fidel_1344.m4a
31,6,ፅ,Tsih,assets/sounds/fidel_1345.m4a
31,7,ፆ,Tsoh,assets/sounds/fidel_1346.m4a
32,1,ፈ,Fuh,assets/sounds/fidel_1348.m4a
32,2,ፉ,Foo,assets/sounds/fidel_1349.m4a
32,3,ፊ,Fee,assets/sounds/fidel_134a.m4a
32,4,ፋ,Fah,assets/sounds/fidel_134b.m4a
